Name,Price
Cream Of Palak Soup,₹175
Cream Of Tomato Soup,₹175
Hot & Sour Soup,₹180
Manchow Soup,₹185
Mushroom Soup,₹190
Palak Soup,₹175
Sweet Corn Mushroom Soup,₹185
Sweet Corn Veg Soup,₹180
Tomato Soup,₹170
Veg Clear Soup,₹170
Veg Noodle Soup,₹185
Alu Baigan,₹210
Alu Chana,₹210
Alu Gobi,₹200
Alu Jeera,₹190
Alu Methi,₹210
Alu Mutter,₹190
Alu Palak,₹190
Babycorn Masala,₹270
Babycorn Mushroom Masala,₹280
Babycorn Paneer Masala,₹300
Baigan Bartha,₹240
Baigan Masala,₹210
Bharela Baigon,₹250
Bhendi Fry,₹210
Bhendi Masala,₹195
Butter Dal Fry,₹210
Chana Garlic Dry,₹250
Chana Masala,₹200
Cheese Kofta,₹265
Cheese Mushroom Masala,₹283
Cheese Paneer Masala,₹283
Chole Batura,₹285
Corn Capcicum Lakhnovi,₹293
Dal Fry,₹200
Dal Kolhapuri,₹205
Dal Palak,₹210
Dal Tadka,₹215
Dum Alu Kashmiri (Sweet),₹255
Dum Alu Punjabi,₹255
Green Peas Dal Fry,₹200
Green Peas Masala,₹210
Green Peas Palak,₹210
Green Peas Pulav,₹230
Green Peas Tomato,₹200
Hara Bhara Kabab Masala,₹280
Kaju Cheese Masala,₹320
Kaju Curry,₹300
Kaju Makhanwala (Sweet),₹320
Kaju Masala,₹300
Kaju Mutter,₹295
Kaju Palak,₹295
Kaju Paneer,₹320
Kashmiri Kofta (Sweet),₹260
Kashmiri Kurma (Sweet) (sweet),₹260
Lasooni Methi,₹230
Lasooni Palak,₹270
Malai Kofta (Sweet),₹255
Masala Bhaji,₹85
Methi Malai Mutter (sweet),₹250
Methi Masala,₹230
Methi Mutter Masala,₹250
Mix Veg,₹220
Mush Kadai,₹280
Mushroom Handi,₹360
Mushroom Kolhapuri,₹270
Mushroom Masala,₹260
Mushroom Mutter,₹270
Mushroom Mutter Handi,₹370
Mushroom Paneer Handi,₹370
Mushroom Paneer Kadai,₹290
Mushroom Paneer Masala,₹280
Mushroom Shahi Kurma (sweet),₹260
Mushroom Tawa,₹290
Mushroom Tikka Masala,₹300
Nargis Kofta,₹270
Navratan Kofta (Sweet),₹255
Navratan Kurma (sweet),₹250
Paneer Bhurji,₹280
Paneer Butter Masala,₹260
Paneer Chatpata,₹270
Paneer Chilly Masala,₹270
Paneer Corn Capcicum Lakhnovi,₹290
Paneer Do Abbha,₹290
Paneer Do Pyaza,₹270
Paneer Handi,₹360
Paneer Hyderabadi,₹275
Paneer Jalfraize,₹270
Paneer Kadai,₹285
Paneer Kofta,₹265
Paneer Kolhapuri,₹255
Paneer Koliwada Masala,₹280
Paneer Lajawab,₹290
Paneer Lasooni,₹270
Paneer Lazeez,₹280
Paneer Makhanwala [Sweet],₹260
Paneer Malwani,₹270
Paneer Masala,₹250
Paneer Methi Masala,₹270
Paneer Mutter,₹240
Paneer Mutter Biryani,₹270
Paneer Mutter Handi,₹370
Paneer Nizami,₹340
Paneer Palak,₹240
Paneer Pasanda (sweet),₹275
Paneer Patiyala,₹310
Paneer Peshawari,₹270
Paneer Rara Masala,₹300
Paneer Shahi Kurma (Sweet),₹265
Paneer Tawa,₹285
Paneer Tikka Biryani,₹330
Paneer Tikka Masala,₹290
Papad Roll Masala,₹310
Plain Palak Masala,₹200
Poona Masala,₹250
Sai Prakash Spl Veg,₹360
Shimla Masala,₹200
Soya Bean Masala,₹240
Soya Bean Sukka,₹255
Stuffed Baingan,₹250
Stuffed Potato Masala,₹265
Stuffed Simla,₹235
Stuffed Tomato,₹240
Tomato Bhartha,₹225
Veg Afgani,₹270
Veg Chilly Milly,₹310
Veg Deewani Handi,₹360
Veg Do Abbha,₹300
Veg Do Pyaza,₹250
Veg Handi,₹339
Veg Hariyali,₹255
Veg Hungama,₹265
Veg Hyderabadi,₹255
Veg Jaipuri,₹250
Veg Jalfrize,₹255
Veg Kadai,₹270
Veg Kheema Mutter,₹260
Veg Kofta,₹260
Veg Kolhapuri,₹215
Veg Koliwada Masala,₹280
Veg Kurma (Sweet),₹240
Veg Lahori,₹275
Veg Lajawab,₹270
Veg Maharaja,₹280
Veg Makhanwala (Sweet),₹240
Veg Makhmali,₹260
Veg Malwani,₹260
Veg Marata,₹380
Veg Moghlai,₹260
Veg Patiyala,₹300
Veg Peshwari,₹255
Veg Rani Masala,₹300
Veg Shabnami,₹260
Veg Tawa,₹265
Veg Tiranga,₹375
Cheese Corn Balls,₹280
Cheese Pakoda,₹205
Hara Bhara Kabab (Dry),₹280
Mix Pakoda,₹180
Paneer Pakoda,₹205
Baby Corn Tandoori,₹260
Gobi Tandoori,₹260
Mushroom Hariyali Tikka,₹310
Mushroom Tikka,₹300
Paneer Achari Tikka,₹300
Paneer Banjara Kabab,₹300
Paneer Malai Kabab (Sweet),₹300
Paneer Pahadi Kabab,₹290
Paneer Pudina Kabab,₹290
Paneer Tikka Dry,₹290
Paneer Tiranga Kabab,₹340
Veg Sheek Kabab,₹290
Babycorn 65 Dry,₹270
Babycorn Chilly Dry,₹270
Babycorn Crispy,₹275
Babycorn Manchurian Dry,₹270
Gobi 65 Dry,₹255
Gobi Chilly Dry,₹255
Gobi Manchurian Dry,₹245
Idli Chilly Dry,₹240
Idli Schezwan Chilly Dry,₹250
Mushroom 65 Dry,₹280
Mushroom Chilly Dry,₹280
Mushroom Crispy,₹285
Mushroom Manchurian Dry,₹280
Mushroom Salt Pepper,₹300
Mushroom Schezwan Chilly Dry,₹290
Paneer 65 Dry,₹265
Paneer Chilly Dry,₹265
Paneer Crispy,₹275
Paneer Hot Pan,₹320
Paneer Lolypop,₹305
Paneer Manchurian Dry,₹265
Paneer Salt Peppar,₹305
Paneer Satey,₹315
Paneer Schezwan Chilly Dry,₹275
Paneer Schezwan Dry,₹275
Paneer Schezwan Spring Roll,₹290
Paneer Spring Roll,₹280
Soya Bean Chilly Dry,₹265
Veg 65,₹265
Veg Chilly Dry,₹255
Veg Crispy,₹260
Veg Gold Finger,₹260
Veg Lollypop,₹270
Veg Manchurian Dry,₹240
Veg Red Rose,₹290
Veg Schezwan Finger,₹270
Veg Schezwan Spring Roll,₹270
Veg Spring Roll,₹265
Babycorn Chilly Gravy,₹270
Babycorn Manchurian Gravy,₹270
Gobi Chilly Gravy,₹255
Gobi Manchurian Gravy,₹245
Idli Manchurian Gravy,₹240
Mushroom 65 Gravy,₹270
Mushroom Chilly Gravy,₹280
Mushroom Manchurian Gravy,₹270
Mushroom Paneer Chilly Dry,₹270
Paneer 65 Gravy,₹275
Paneer Chilly Gravy,₹265
Paneer Manchurian Gravy,₹270
Veg 65 Gravy,₹265
Veg Chilly Gravy,₹255
Veg Manchurian Gravy,₹240
Dal,₹80
Cheese Capsicum Pizza,₹230
Cheese Mush Pizza,₹240
Cheese Onion Pizza,₹230
Cheese Paneer Pizza,₹240
Cheese Pizza,₹230
Sai Prakash Spl Pizza,₹250
Veg Cheese Pizza,₹235
Veg Corn Cheesepizza,₹245
Cheese Sez Masala Dosa,₹180
Cheese Sez Sada Dosa,₹165
Dilkush Dosa,₹190
Paneer Schezwan Msl Dosa,₹180
Paneer Schezwan Sada Dosa,₹165
Schezwan Masala Dosa,₹155
Schezwan Sada Dosa,₹150
Butter Masala Dosa,₹125
Butter Mysore Msl Dosa,₹138
